negative,positive,total,date,deaths
98498.0,21655.0,120153.0,2020-04-11,494.0
93040.0,19979.0,113019.0,2020-04-10,416.0
87374.0,18228.0,105602.0,2020-04-09,338.0
82299.0,16239.0,98538.0,2020-04-08,309.0
76719.0,14559.0,91278.0,2020-04-07,240.0
70874.0,12980.0,83854.0,2020-04-06,162.0
66261.0,11510.0,77771.0,2020-04-05,150.0
60013.0,10017.0,70030.0,2020-04-04,136.0
53695.0,8420.0,62115.0,2020-04-03,102.0
47698.0,7016.0,54714.0,2020-04-02,90.0
42427.0,5805.0,48232.0,2020-04-01,74.0
37645.0,4843.0,42488.0,2020-03-31,63.0
33777.0,4087.0,37864.0,2020-03-30,49.0
30061.0,3394.0,33455.0,2020-03-29,38.0
25254.0,2751.0,28005.0,2020-03-28,34.0
21016.0,2218.0,23234.0,2020-03-27,22.0
16441.0,1687.0,18128.0,2020-03-26,16.0
11193.0,1127.0,12320.0,2020-03-25,11.0
8643.0,851.0,9494.0,2020-03-24,7.0
6595.0,644.0,7239.0,2020-03-23,6.0
4964.0,479.0,5443.0,2020-03-22,2.0
3766.0,371.0,4137.0,2020-03-21,2.0
2574.0,268.0,2842.0,2020-03-20,0.0
1608.0,185.0,1793.0,2020-03-19,0.0
1187.0,133.0,1320.0,2020-03-18,0.0
